symbol,ex_date,type,value,ratio_text,note
AAL.L,2007-03-14,dividend,47.413002,,
AAL.L,2007-07-02,split,0.91,91:100,
AAL.L,2007-08-22,dividend,21.4991,,
AAL.L,2008-03-12,dividend,48.8048,,
AAL.L,2008-08-20,dividend,27.0899,,
AAL.L,2010-08-18,dividend,18.2689,,
AAL.L,2011-03-30,dividend,27.693901,,
AAL.L,2011-08-17,dividend,19.4917,,
AAL.L,2012-03-28,dividend,32.8283,,
AAL.L,2012-08-15,dividend,23.0194,,
AAL.L,2013-03-20,dividend,39.307003,,
AAL.L,2013-08-14,dividend,23.450901,,
AAL.L,2014-03-19,dividend,35.857098,,
AAL.L,2014-08-06,dividend,22.0423,,
AAL.L,2015-03-19,dividend,41.1712,,
AAL.L,2015-08-06,dividend,23.767801,,
AAL.L,2017-08-10,dividend,41.941498,,
AAL.L,2018-03-15,dividend,43.9012,,
AAL.L,2018-08-16,dividend,43.0191,,
AAL.L,2019-03-14,dividend,44.1235,,
AAL.L,2019-08-15,dividend,58.4893,,
AAL.L,2020-03-12,dividend,42.6872,,
AAL.L,2020-08-20,dividend,24.5621,,
AAL.L,2021-03-18,dividend,58.5319,,
AAL.L,2021-08-19,dividend,206.6458,,
AAL.L,2022-03-17,dividend,145.7137,,
AAL.L,2022-08-18,dividend,122.5421,,
AAL.L,2023-03-16,dividend,67.2212,,
AAL.L,2023-08-17,dividend,49.7653,,
AAL.L,2024-03-14,dividend,37.3484,,
AAL.L,2024-08-15,dividend,36.3049,,
AAL.L,2025-03-13,dividend,18.8513,,
AAL.L,2025-06-02,split,0.8807339449541285,96:109,
AAL.L,2025-08-21,dividend,5.165,,
AAL.L,2026-03-12,dividend,11.8220005,,
AAL.L,2026-08-20,dividend,16.987,,
AAPL,2012-08-09,dividend,0.094643,,
AAPL,2012-11-07,dividend,0.094643,,
AAPL,2013-02-07,dividend,0.094643,,
AAPL,2013-05-09,dividend,0.108929,,
AAPL,2013-08-08,dividend,0.108929,,
AAPL,2013-11-06,dividend,0.108929,,
AAPL,2014-02-06,dividend,0.108929,,
AAPL,2014-05-08,dividend,0.1175,,
AAPL,2014-06-09,split,7.0,7:1,
AAPL,2014-08-07,dividend,0.1175,,
AAPL,2014-11-06,dividend,0.1175,,
AAPL,2015-02-05,dividend,0.1175,,
AAPL,2015-05-07,dividend,0.13,,
AAPL,2015-08-06,dividend,0.13,,
AAPL,2015-11-05,dividend,0.13,,
AAPL,2016-02-04,dividend,0.13,,
AAPL,2016-05-05,dividend,0.1425,,
AAPL,2016-08-04,dividend,0.1425,,
AAPL,2016-11-03,dividend,0.1425,,
AAPL,2017-02-09,dividend,0.1425,,
AAPL,2017-05-11,dividend,0.1575,,
AAPL,2017-08-10,dividend,0.1575,,
AAPL,2017-11-10,dividend,0.1575,,
AAPL,2018-02-09,dividend,0.1575,,
AAPL,2018-05-11,dividend,0.1825,,
AAPL,2018-08-10,dividend,0.1825,,
AAPL,2018-11-08,dividend,0.1825,,
AAPL,2019-02-08,dividend,0.1825,,
AAPL,2019-05-10,dividend,0.1925,,
AAPL,2019-08-09,dividend,0.1925,,
AAPL,2019-11-07,dividend,0.1925,,
AAPL,2020-02-07,dividend,0.1925,,
AAPL,2020-05-08,dividend,0.205,,
AAPL,2020-08-07,dividend,0.205,,
AAPL,2020-08-31,split,4.0,4:1,
AAPL,2020-11-06,dividend,0.205,,
AAPL,2021-02-05,dividend,0.205,,
AAPL,2021-05-07,dividend,0.22,,
AAPL,2021-08-06,dividend,0.22,,
AAPL,2021-11-05,dividend,0.22,,
AAPL,2022-02-04,dividend,0.22,,
AAPL,2022-05-06,dividend,0.23,,
AAPL,2022-08-05,dividend,0.23,,
AAPL,2022-11-04,dividend,0.23,,
AAPL,2023-02-10,dividend,0.23,,
AAPL,2023-05-12,dividend,0.24,,
AAPL,2023-08-11,dividend,0.24,,
AAPL,2023-11-10,dividend,0.24,,
AAPL,2024-02-09,dividend,0.24,,
AAPL,2024-05-10,dividend,0.25,,
AAPL,2024-08-12,dividend,0.25,,
AAPL,2024-11-08,dividend,0.25,,
AAPL,2025-02-10,dividend,0.25,,
AAPL,2025-05-12,dividend,0.26,,
AAPL,2025-08-11,dividend,0.26,,
AAPL,2025-11-10,dividend,0.26,,
AAPL,2026-02-09,dividend,0.26,,
AAPL,2026-05-11,dividend,0.27,,
AAPL,2026-08-10,dividend,0.27,,
ABBV,2013-01-11,dividend,0.4,,
ABBV,2013-04-11,dividend,0.4,,
ABBV,2013-07-11,dividend,0.4,,
ABBV,2013-10-10,dividend,0.4,,
ABBV,2014-01-13,dividend,0.4,,
ABBV,2014-04-11,dividend,0.42,,
ABBV,2014-07-11,dividend,0.42,,
ABBV,2014-10-10,dividend,0.42,,
ABBV,2015-01-13,dividend,0.49,,
ABBV,2015-04-13,dividend,0.51,,
ABBV,2015-07-13,dividend,0.51,,
ABBV,2015-10-13,dividend,0.51,,
ABBV,2016-01-13,dividend,0.57,,
ABBV,2016-04-13,dividend,0.57,,
ABBV,2016-07-13,dividend,0.57,,
ABBV,2016-10-12,dividend,0.57,,
ABBV,2017-01-11,dividend,0.64,,
ABBV,2017-04-11,dividend,0.64,,
ABBV,2017-07-12,dividend,0.64,,
ABBV,2017-10-12,dividend,0.64,,
ABBV,2018-01-11,dividend,0.71,,
ABBV,2018-04-12,dividend,0.96,,
ABBV,2018-07-12,dividend,0.96,,
ABBV,2018-10-12,dividend,0.96,,
ABBV,2019-01-14,dividend,1.07,,
ABBV,2019-04-12,dividend,1.07,,
ABBV,2019-07-12,dividend,1.07,,
ABBV,2019-10-11,dividend,1.07,,
ABBV,2020-01-14,dividend,1.18,,
ABBV,2020-04-14,dividend,1.18,,
ABBV,2020-07-14,dividend,1.18,,
ABBV,2020-10-14,dividend,1.18,,
ABBV,2021-01-14,dividend,1.3,,
ABBV,2021-04-14,dividend,1.3,,
ABBV,2021-07-14,dividend,1.3,,
ABBV,2021-10-14,dividend,1.3,,
ABBV,2022-01-13,dividend,1.41,,
ABBV,2022-04-13,dividend,1.41,,
ABBV,2022-07-14,dividend,1.41,,
ABBV,2022-10-13,dividend,1.41,,
ABBV,2023-01-12,dividend,1.48,,
ABBV,2023-04-13,dividend,1.48,,
ABBV,2023-07-13,dividend,1.48,,
ABBV,2023-10-12,dividend,1.48,,
ABBV,2024-01-12,dividend,1.55,,
ABBV,2024-04-12,dividend,1.55,,
ABBV,2024-07-15,dividend,1.55,,
ABBV,2024-10-15,dividend,1.55,,
