year,month,cpi_u_nsa
2024,1,308.417
2024,2,310.326
2024,3,312.332
2024,4,313.548
2024,5,314.069
2024,6,314.175
2024,7,314.54
2024,8,314.796
2024,9,315.301
2024,10,315.664
2024,11,315.493
2024,12,315.605
2024,13,313.689
2025,1,317.671
2025,2,319.082
2025,3,319.799
2025,4,320.795
2025,5,321.465
2025,6,322.561
2025,7,323.048
2025,8,323.976
2025,9,324.8
2025,11,324.122
2025,12,324.054
2025,13,321.943
2026,1,325.252
2026,2,326.785
2026,3,330.213
2026,4,333.02
2026,5,335.123
2026,6,333.952
2026,7,333.918
2026,8,334.98
