symbol,exchange,currency,region,price_scale
AAPL,XNYS,USD,US,1
MSFT,XNYS,USD,US,1
NVDA,XNYS,USD,US,1
AMZN,XNYS,USD,US,1
GOOGL,XNYS,USD,US,1
META,XNYS,USD,US,1
BRK-B,XNYS,USD,US,1
TSLA,XNYS,USD,US,1
AVGO,XNYS,USD,US,1
JPM,XNYS,USD,US,1
LLY,XNYS,USD,US,1
V,XNYS,USD,US,1
UNH,XNYS,USD,US,1
XOM,XNYS,USD,US,1
MA,XNYS,USD,US,1
JNJ,XNYS,USD,US,1
PG,XNYS,USD,US,1
COST,XNYS,USD,US,1
HD,XNYS,USD,US,1
ABBV,XNYS,USD,US,1
WMT,XNYS,USD,US,1
BAC,XNYS,USD,US,1
NFLX,XNYS,USD,US,1
CRM,XNYS,USD,US,1
KO,XNYS,USD,US,1
CVX,XNYS,USD,US,1
MRK,XNYS,USD,US,1
AMD,XNYS,USD,US,1
PEP,XNYS,USD,US,1
TMO,XNYS,USD,US,1
ORCL,XNYS,USD,US,1
CSCO,XNYS,USD,US,1
ACN,XNYS,USD,US,1
ADBE,XNYS,USD,US,1
MCD,XNYS,USD,US,1
LIN,XNYS,USD,US,1
ABT,XNYS,USD,US,1
WFC,XNYS,USD,US,1
TXN,XNYS,USD,US,1
DHR,XNYS,USD,US,1
IBM,XNYS,USD,US,1
GE,XNYS,USD,US,1
CAT,XNYS,USD,US,1
PM,XNYS,USD,US,1
INTU,XNYS,USD,US,1
QCOM,XNYS,USD,US,1
VZ,XNYS,USD,US,1
AMGN,XNYS,USD,US,1
ISRG,XNYS,USD,US,1
DIS,XNYS,USD,US,1
NOW,XNYS,USD,US,1
CMCSA,XNYS,USD,US,1
SPGI,XNYS,USD,US,1
PFE,XNYS,USD,US,1
GS,XNYS,USD,US,1
UBER,XNYS,USD,US,1
AMAT,XNYS,USD,US,1
UNP,XNYS,USD,US,1
RTX,XNYS,USD,US,1
BKNG,XNYS,USD,US,1
LOW,XNYS,USD,US,1
AXP,XNYS,USD,US,1
T,XNYS,USD,US,1
HON,XNYS,USD,US,1
NKE,XNYS,USD,US,1
BLK,XNYS,USD,US,1
SYK,XNYS,USD,US,1
PGR,XNYS,USD,US,1
ELV,XNYS,USD,US,1
NEE,XNYS,USD,US,1
TJX,XNYS,USD,US,1
LMT,XNYS,USD,US,1
BA,XNYS,USD,US,1
MDT,XNYS,USD,US,1
COP,XNYS,USD,US,1
DE,XNYS,USD,US,1
ADP,XNYS,USD,US,1
SBUX,XNYS,USD,US,1
GILD,XNYS,USD,US,1
C,XNYS,USD,US,1
PLD,XNYS,USD,US,1
MMC,XNYS,USD,US,1
BX,XNYS,USD,US,1
MDLZ,XNYS,USD,US,1
ADI,XNYS,USD,US,1
VRTX,XNYS,USD,US,1
CB,XNYS,USD,US,1
REGN,XNYS,USD,US,1
LRCX,XNYS,USD,US,1
SCHW,XNYS,USD,US,1
ETN,XNYS,USD,US,1
MU,XNYS,USD,US,1
KLAC,XNYS,USD,US,1
CI,XNYS,USD,US,1
CMG,XNYS,USD,US,1
ANET,XNYS,USD,US,1
PANW,XNYS,USD,US,1
MO,XNYS,USD,US,1
SO,XNYS,USD,US,1
BSX,XNYS,USD,US,1
ZTS,XNYS,USD,US,1
WM,XNYS,USD,US,1
CVS,XNYS,USD,US,1
TGT,XNYS,USD,US,1
ITW,XNYS,USD,US,1
EQIX,XNYS,USD,US,1
MS,XNYS,USD,US,1
APH,XNYS,USD,US,1
BDX,XNYS,USD,US,1
EOG,XNYS,USD,US,1
CL,XNYS,USD,US,1
DUK,XNYS,USD,US,1
PNC,XNYS,USD,US,1
SLB,XNYS,USD,US,1
ICE,XNYS,USD,US,1
PYPL,XNYS,USD,US,1
CME,XNYS,USD,US,1
NOC,XNYS,USD,US,1
FDX,XNYS,USD,US,1
SHW,XNYS,USD,US,1
EMR,XNYS,USD,US,1
AON,XNYS,USD,US,1
USB,XNYS,USD,US,1
PSA,XNYS,USD,US,1
MCK,XNYS,USD,US,1
CSX,XNYS,USD,US,1
GD,XNYS,USD,US,1
